views,add_to_cart,searches,clicks,discount_percent,recency_days,redeemed
3.0,0.0,0.0,3.0,5.0,20.0,0
2.0,0.0,0.0,2.0,23.0,20.0,0
14.0,0.0,0.0,18.0,14.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
9.0,0.0,0.0,9.0,14.0,20.0,0
8.0,0.0,0.0,11.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
10.0,0.0,1.0,11.0,5.0,20.0,0
3.0,0.0,0.0,3.0,23.0,20.0,0
3.0,0.0,0.0,3.0,5.0,20.0,0
4.0,0.0,0.0,4.0,5.0,20.0,0
28.0,0.0,0.0,28.0,5.0,20.0,0
11.0,0.0,0.0,11.0,41.0,20.0,0
20.0,0.0,0.0,20.0,5.0,20.0,0
1.0,0.0,0.0,1.0,23.0,20.0,0
4.0,0.0,0.0,4.0,5.0,20.0,0
19.0,0.0,0.0,19.0,14.0,20.0,0
9.0,0.0,0.0,9.0,5.0,20.0,0
21.0,0.0,0.0,21.0,5.0,21.0,0
1.0,0.0,0.0,1.0,5.0,21.0,0
6.0,0.0,0.0,6.0,41.0,21.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
23.0,0.0,0.0,23.0,32.0,20.0,0
31.0,0.0,2.0,35.0,5.0,21.0,0
23.0,0.0,0.0,24.0,5.0,21.0,0
6.0,0.0,0.0,6.0,23.0,20.0,0
23.0,0.0,0.0,23.0,32.0,20.0,0
12.0,0.0,0.0,12.0,5.0,20.0,0
5.0,0.0,0.0,5.0,5.0,20.0,0
5.0,0.0,0.0,5.0,5.0,20.0,0
11.0,0.0,0.0,11.0,5.0,20.0,0
20.0,0.0,0.0,20.0,41.0,21.0,0
15.0,0.0,0.0,16.0,41.0,21.0,0
17.0,0.0,0.0,17.0,5.0,20.0,0
3.0,0.0,0.0,3.0,32.0,20.0,0
1.0,0.0,0.0,1.0,41.0,21.0,0
24.0,0.0,0.0,29.0,50.0,21.0,0
10.0,0.0,0.0,13.0,5.0,20.0,0
7.0,0.0,0.0,7.0,5.0,20.0,0
21.0,0.0,0.0,22.0,5.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
6.0,0.0,0.0,6.0,32.0,20.0,0
17.0,0.0,0.0,17.0,5.0,21.0,0
1.0,0.0,0.0,1.0,32.0,20.0,0
1.0,0.0,0.0,1.0,5.0,20.0,0
8.0,0.0,0.0,8.0,41.0,21.0,0
5.0,0.0,16.0,21.0,5.0,18.0,0
20.0,0.40003703705,0.0,20.0,5.0,18.0,0
50.0,0.0,0.0,52.0,5.0,18.0,0
96.0,0.0,2.0,108.0,5.0,19.0,0
49.0,0.08530074829999999,1.0,59.0,5.0,18.0,1
68.0,2.3265087555,1.0,72.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
24.0,0.0,5.0,32.0,5.0,18.0,0
9.0,0.0,0.0,12.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,18.0,0
22.0,0.0,0.0,22.0,5.0,19.0,0
98.0,0.0,0.0,98.0,5.0,18.0,0
67.0,0.9671325085,1.0,70.0,5.0,18.0,1
13.0,0.0,0.0,16.0,5.0,18.0,0
17.0,5.4588,0.0,17.0,5.0,18.0,1
55.0,4.812755791,2.0,60.0,5.0,19.0,1
50.0,7.6721623899999996,0.0,51.0,5.0,19.0,1
5.0,0.0,0.0,5.0,5.0,19.0,0
13.0,0.0,0.0,18.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,18.0,0
12.0,0.0,0.0,13.0,5.0,18.0,0
16.0,0.0,0.0,19.0,5.0,18.0,0
16.0,1.6899783505,0.0,17.0,5.0,18.0,1
5.0,0.0,0.0,7.0,5.0,19.0,0
4.0,0.0,0.0,7.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
4.0,0.0,1.0,7.0,5.0,18.0,0
14.0,0.0,0.0,14.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
7.0,0.0,0.0,11.0,5.0,19.0,0
10.0,0.0,3.0,15.0,5.0,18.0,0
18.0,0.0,2.0,22.0,5.0,18.0,0
4.0,0.0,0.0,6.0,5.0,18.0,0
35.0,0.0,0.0,35.0,5.0,18.0,0
12.0,0.0,0.0,12.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,18.0,0
14.0,1.7546399999999998,0.0,16.0,5.0,18.0,1
5.0,0.0,0.0,5.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
6.0,0.0,0.0,7.0,5.0,18.0,0
28.0,0.0,0.0,29.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,19.0,0
37.0,0.0,2.0,44.0,5.0,18.0,0
9.0,0.0,0.0,9.0,5.0,18.0,0
16.0,0.8881333335000001,0.0,16.0,5.0,18.0,1
19.0,0.0,0.0,19.0,5.0,18.0,0
50.0,0.3573130444,0.0,52.0,5.0,19.0,0
22.0,0.0,0.0,28.0,5.0,18.0,0
9.0,0.0,0.0,9.0,5.0,19.0,0
50.0,1.1016384614999999,1.0,52.0,5.0,19.0,0
18.0,0.0,0.0,20.0,5.0,19.0,0
7.0,0.0,5.0,15.0,5.0,18.0,0
29.0,0.0,0.0,32.0,5.0,19.0,0
34.0,0.0,0.0,40.0,5.0,19.0,0
9.0,0.0,0.0,9.0,5.0,19.0,0
16.0,0.0,0.0,16.0,5.0,18.0,0
51.0,0.0,1.0,60.0,5.0,18.0,0
22.0,0.0,0.0,24.0,5.0,18.0,0
18.0,0.0,0.0,19.0,5.0,18.0,0
28.0,0.0,1.0,29.0,5.0,19.0,0
7.0,0.0,0.0,7.0,5.0,18.0,0
31.0,0.0,0.0,31.0,5.0,18.0,0
14.0,0.0,0.0,14.0,5.0,18.0,0
9.0,0.0,0.0,10.0,5.0,18.0,0
32.0,0.2184257778,0.0,48.0,5.0,18.0,1
71.0,0.0,1.0,73.0,5.0,19.0,0
46.0,0.0,1.0,49.0,5.0,19.0,0
18.0,0.0,0.0,18.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
5.0,0.0,0.0,5.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,19.0,0
19.0,0.0,0.0,23.0,5.0,18.0,0
2.0,0.0,0.0,3.0,5.0,18.0,0
4.0,0.0,0.0,9.0,5.0,18.0,0
45.0,0.0,0.0,45.0,5.0,18.0,0
7.0,0.0,1.0,8.0,5.0,18.0,0
14.0,0.0,0.0,17.0,5.0,19.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
29.0,0.4386236559,1.0,31.0,5.0,19.0,1
9.0,0.0,0.0,9.0,5.0,18.0,0
30.0,0.0,0.0,30.0,5.0,18.0,0
63.0,2.573165574,0.0,63.0,5.0,19.0,1
20.0,0.0,0.0,20.0,5.0,18.0,0
5.0,0.0,0.0,5.0,5.0,18.0,0
15.0,0.0,0.0,15.0,5.0,18.0,0
6.0,0.0,0.0,6.0,5.0,19.0,0
14.0,0.0,0.0,15.0,5.0,19.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
13.0,0.0,1.0,15.0,5.0,18.0,0
42.0,0.0,0.0,46.0,5.0,18.0,0
5.0,0.0,0.0,5.0,5.0,19.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
10.0,1.9495,0.0,14.0,5.0,19.0,1
18.0,0.0,0.0,18.0,5.0,18.0,0
5.0,0.0,0.0,5.0,5.0,18.0,0
32.0,0.0,0.0,32.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,19.0,0
11.0,2.6994599999999997,0.0,11.0,5.0,19.0,1
36.0,0.3415896196,4.0,53.0,5.0,18.0,0
6.0,0.0,0.0,6.0,5.0,18.0,0
10.0,0.0,0.0,12.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
35.0,0.0,0.0,35.0,5.0,18.0,0
87.0,0.0,1.0,99.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
51.0,0.0,0.0,52.0,5.0,18.0,0
7.0,0.0,0.0,9.0,5.0,18.0,0
40.0,0.0,0.0,40.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,19.0,0
14.0,2.2339625,1.0,17.0,5.0,18.0,1
13.0,2.989507143,0.0,13.0,5.0,18.0,1
33.0,0.0,0.0,33.0,5.0,18.0,0
22.0,0.0,0.0,26.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,18.0,0
17.0,0.0,0.0,22.0,5.0,19.0,0
15.0,0.0,0.0,15.0,5.0,19.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
35.0,0.0,0.0,35.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
1.0,0.0,1.0,2.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,19.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
12.0,0.0,0.0,12.0,5.0,18.0,0
23.0,0.0,0.0,28.0,5.0,19.0,0
29.0,0.0,0.0,29.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,19.0,0
10.0,0.0,0.0,12.0,5.0,18.0,0
27.0,0.0,1.0,28.0,5.0,18.0,0
35.0,0.0,2.0,44.0,5.0,18.0,0
54.0,0.0,2.0,59.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
3.0,0.0,0.0,5.0,5.0,18.0,0
5.0,0.0,0.0,7.0,5.0,18.0,0
46.0,0.0,0.0,47.0,5.0,18.0,0
23.0,0.35515104165,0.0,24.0,5.0,18.0,1
5.0,0.0,0.0,5.0,5.0,18.0,0
10.0,0.0,0.0,10.0,5.0,18.0,0
37.0,0.0,0.0,39.0,5.0,18.0,0
68.0,0.0,0.0,74.0,5.0,18.0,0
4.0,0.0,0.0,8.0,5.0,18.0,0
2.0,0.0,0.0,4.0,5.0,18.0,0
15.0,0.0,0.0,15.0,5.0,19.0,0
11.0,0.0,0.0,14.0,5.0,18.0,0
7.0,0.0,0.0,9.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
55.0,0.0,0.0,58.0,5.0,18.0,0
21.0,0.0,3.0,25.0,5.0,18.0,0
64.0,0.0,0.0,68.0,5.0,18.0,0
75.0,0.0,1.0,76.0,5.0,18.0,0
14.0,0.0,0.0,15.0,5.0,18.0,0
8.0,0.0,0.0,9.0,5.0,18.0,0
49.0,0.0,0.0,49.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
29.0,0.0,0.0,30.0,5.0,18.0,0
7.0,0.0,0.0,7.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
25.0,0.0,0.0,25.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
3.0,0.0,0.0,7.0,5.0,18.0,0
12.0,0.0,0.0,12.0,5.0,18.0,0
39.0,0.0,0.0,45.0,5.0,18.0,0
24.0,0.0,0.0,27.0,5.0,18.0,0
12.0,0.0,0.0,13.0,5.0,19.0,0
15.0,0.0,0.0,17.0,5.0,18.0,0
10.0,0.0,0.0,10.0,5.0,18.0,0
19.0,0.983409273,1.0,28.0,5.0,19.0,0
55.0,0.0,1.0,65.0,5.0,18.0,0
27.0,0.0,0.0,30.0,5.0,18.0,0
30.0,0.46135004835000004,1.0,31.0,5.0,18.0,1
3.0,0.0,0.0,3.0,5.0,18.0,0
24.0,0.0,0.0,24.0,5.0,18.0,0
46.0,0.0,0.0,49.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
25.0,0.0,0.0,25.0,5.0,18.0,0
12.0,0.0,0.0,12.0,5.0,19.0,0
4.0,0.0,0.0,5.0,5.0,18.0,0
46.0,0.0,0.0,50.0,5.0,18.0,0
10.0,0.0,0.0,10.0,5.0,19.0,0
9.0,1.7218009385,0.0,12.0,5.0,18.0,1
13.0,0.0,0.0,13.0,5.0,19.0,0
111.0,0.6008282745,0.0,112.0,5.0,18.0,0
2.0,0.0,0.0,7.0,5.0,18.0,0
27.0,0.0,0.0,29.0,5.0,19.0,0
33.0,0.0,0.0,41.0,5.0,18.0,0
5.0,0.0,0.0,5.0,5.0,18.0,0
7.0,0.0,0.0,9.0,5.0,19.0,0
81.0,0.0,14.0,96.0,5.0,18.0,0
6.0,0.0,0.0,6.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
14.0,0.0,0.0,18.0,5.0,18.0,0
25.0,0.0,0.0,28.0,5.0,19.0,0
25.0,0.0,0.0,25.0,5.0,18.0,0
22.0,0.807192,3.0,27.0,5.0,18.0,1
2.0,0.0,0.0,2.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,18.0,0
22.0,0.0,0.0,23.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
61.0,0.1405406234,5.0,75.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
7.0,0.0,0.0,7.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
12.0,0.0,0.0,12.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
47.0,1.363444007,0.0,53.0,5.0,18.0,1
7.0,0.0,0.0,7.0,5.0,18.0,0
14.0,0.0,0.0,15.0,5.0,19.0,0
31.0,0.0,0.0,34.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,19.0,0
44.0,0.0,0.0,51.0,5.0,18.0,0
8.0,0.0,0.0,11.0,5.0,18.0,0
88.0,0.0,1.0,90.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
31.0,0.5960048075,4.0,42.0,5.0,18.0,1
39.0,3.9467417804999996,0.0,41.0,5.0,18.0,1
10.0,0.0,0.0,10.0,5.0,18.0,0
17.0,0.0,4.0,26.0,5.0,18.0,0
46.0,0.0,0.0,49.0,5.0,18.0,0
14.0,0.0,0.0,18.0,5.0,18.0,0
40.0,0.0,0.0,40.0,5.0,18.0,0
2.0,0.0,0.0,6.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
30.0,0.794453181,4.0,42.0,5.0,19.0,1
15.0,0.0,0.0,18.0,5.0,18.0,0
16.0,0.0,0.0,16.0,5.0,18.0,0
37.0,0.0,1.0,40.0,5.0,19.0,0
11.0,0.0,1.0,16.0,5.0,19.0,0
2.0,0.0,0.0,5.0,5.0,19.0,0
15.0,0.0,0.0,16.0,5.0,19.0,0
29.0,0.0,0.0,29.0,5.0,18.0,0
15.0,0.59977702,2.0,17.0,5.0,19.0,1
3.0,0.0,0.0,3.0,5.0,19.0,0
1.0,0.0,0.0,1.0,5.0,19.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
55.0,0.0,1.0,57.0,5.0,19.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
38.0,0.0,0.0,38.0,5.0,18.0,0
7.0,0.0,0.0,9.0,5.0,19.0,0
149.0,0.9184024580000001,2.0,155.0,5.0,18.0,1
5.0,0.0,0.0,5.0,5.0,19.0,0
2.0,0.0,0.0,2.0,5.0,19.0,0
6.0,0.0,0.0,6.0,5.0,18.0,0
27.0,0.0,0.0,27.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
13.0,0.0,0.0,15.0,5.0,18.0,0
41.0,0.0,0.0,41.0,5.0,19.0,0
9.0,0.0,0.0,11.0,5.0,18.0,0
9.0,0.0,0.0,11.0,5.0,19.0,0
8.0,0.0,0.0,8.0,5.0,19.0,0
15.0,0.0,0.0,17.0,5.0,19.0,0
21.0,0.0,0.0,21.0,5.0,18.0,0
12.0,0.0,0.0,12.0,5.0,18.0,0
22.0,0.0,0.0,23.0,5.0,18.0,0
13.0,0.0,0.0,16.0,5.0,18.0,0
31.0,0.0,0.0,31.0,5.0,19.0,0
19.0,0.0,0.0,21.0,5.0,18.0,0
13.0,0.0,0.0,13.0,5.0,18.0,0
13.0,0.0,0.0,18.0,5.0,18.0,0
6.0,0.0,0.0,6.0,5.0,18.0,0
0.0,0.0,0.0,3.0,5.0,19.0,0
23.0,0.0,1.0,27.0,5.0,18.0,0
2.0,0.0,2.0,7.0,5.0,18.0,0
47.0,0.8763828,0.0,53.0,5.0,18.0,0
12.0,0.0,0.0,13.0,5.0,19.0,0
5.0,0.0,0.0,5.0,5.0,18.0,0
11.0,0.0,0.0,11.0,5.0,18.0,0
21.0,0.0,0.0,21.0,5.0,18.0,0
5.0,0.0,0.0,5.0,5.0,19.0,0
30.0,0.0,0.0,31.0,5.0,19.0,0
5.0,0.0,0.0,5.0,5.0,19.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
17.0,3.096975,0.0,17.0,5.0,19.0,1
1.0,0.0,0.0,1.0,5.0,18.0,0
14.0,0.0,0.0,14.0,5.0,18.0,0
11.0,0.0,0.0,18.0,5.0,19.0,0
15.0,0.0,0.0,15.0,5.0,18.0,0
8.0,0.0,1.0,9.0,5.0,19.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
20.0,0.0,0.0,20.0,5.0,18.0,0
24.0,0.0,0.0,29.0,5.0,19.0,0
15.0,0.0,0.0,22.0,5.0,18.0,0
15.0,0.0,0.0,18.0,5.0,18.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
30.0,0.0,0.0,33.0,5.0,19.0,0
31.0,0.43413709674999995,3.0,34.0,5.0,18.0,0
9.0,0.0,0.0,9.0,5.0,18.0,0
3.0,0.0,0.0,3.0,5.0,18.0,0
11.0,0.0,2.0,13.0,5.0,19.0,0
30.0,0.0,0.0,30.0,5.0,18.0,0
9.0,0.0,0.0,10.0,5.0,19.0,0
45.0,0.48510566405000005,0.0,48.0,5.0,19.0,0
47.0,0.36281095665,0.0,57.0,5.0,18.0,0
15.0,0.0,1.0,29.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
39.0,0.0,0.0,40.0,5.0,18.0,0
15.0,0.0,0.0,15.0,5.0,18.0,0
20.0,0.0,0.0,22.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
5.0,0.0,0.0,7.0,5.0,18.0,0
13.0,0.0,0.0,13.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
8.0,0.0,0.0,8.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,19.0,0
24.0,0.505111111,1.0,27.0,5.0,18.0,0
7.0,0.0,0.0,7.0,5.0,19.0,0
1.0,0.0,0.0,1.0,5.0,19.0,0
16.0,0.0,0.0,16.0,5.0,18.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
6.0,0.0,0.0,8.0,5.0,19.0,0
16.0,0.0,0.0,16.0,5.0,19.0,0
14.0,0.0,2.0,24.0,5.0,19.0,0
5.0,0.0,0.0,5.0,5.0,19.0,0
3.0,0.0,0.0,8.0,5.0,19.0,0
22.0,0.0,0.0,26.0,5.0,18.0,0
10.0,0.0,0.0,10.0,5.0,18.0,0
11.0,0.0,0.0,11.0,5.0,18.0,0
79.0,1.2983510025,6.0,103.0,5.0,18.0,0
66.0,0.45811756215,0.0,70.0,5.0,18.0,1
27.0,0.0932888889,0.0,28.0,5.0,18.0,0
5.0,0.0,0.0,11.0,5.0,19.0,0
11.0,0.0,0.0,13.0,5.0,18.0,0
29.0,0.0,0.0,29.0,5.0,18.0,0
43.0,0.0,1.0,45.0,5.0,18.0,0
7.0,0.0,0.0,7.0,5.0,18.0,0
258.0,1.6805895849999999,6.0,278.0,5.0,18.0,1
33.0,0.0,1.0,40.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
26.0,0.35848087435,2.0,34.0,5.0,19.0,0
21.0,0.0,1.0,22.0,5.0,18.0,0
1.0,0.0,0.0,1.0,5.0,18.0,0
17.0,0.0,0.0,17.0,5.0,18.0,0
37.0,0.0,0.0,46.0,5.0,19.0,0
4.0,0.0,0.0,4.0,5.0,18.0,0
8.0,0.0,0.0,11.0,5.0,19.0,0
2.0,0.0,0.0,2.0,5.0,18.0,0
23.0,0.0,0.0,26.0,5.0,18.0,0
26.0,0.0,0.0,26.0,5.0,19.0,0
3.0,0.0,0.0,4.0,5.0,19.0,0
24.0,0.0,0.0,28.0,5.0,18.0,0
5.0,0.0,0.0,9.0,5.0,18.0,0
21.0,0.0,0.0,23.0,5.0,19.0,0
7.0,0.0,0.0,7.0,5.0,18.0,0
9.0,0.0,0.0,9.0,5.0,18.0,0
4.0,0.0,0.0,5.0,5.0,18.0,0
